ADP,Name,Pos,Team,Overall,Std.,High,Low
1,Justin Jefferson,WR,MIN,1.4,0.6,1.01,1.04
2,Christian McCaffrey,RB,SF,2.4,1,1.01,1.07
3,Ja'Marr Chase,WR,CIN,2.4,0.8,1.01,1.06
4,Tyreek Hill,WR,FA,4.4,1.2,1.01,1.09
5,Austin Ekeler,RB,WAS,5,1.5,1.01,1.1
6,Travis Kelce,TE,KC,5.9,1.9,1.01,2.03
7,Cooper Kupp,WR,SEA,7,2,1.01,2.05
8,Stefon Diggs,WR,NE,8.5,1.7,1.01,2.05
9,Bijan Robinson,RB,ATL,8.8,2.7,1.01,2.05
10,Saquon Barkley,RB,PHI,9,2.1,1.01,2.05
11,CeeDee Lamb,WR,DAL,11,2.1,1.03,2.07
12,A.J. Brown,WR,PHI,12.5,2.4,1.05,2.07
13,Nick Chubb,RB,HOU,12.5,2.9,1.01,2.1
14,Amon-Ra St. Brown,WR,DET,13.2,2.6,1.04,2.08
15,Tony Pollard,RB,TEN,15.2,2.7,1.03,2.1
16,Garrett Wilson,WR,NYJ,15.6,2.8,1.04,2.11
17,Davante Adams,WR,LAR,15.6,2.6,1.03,3.02
18,Derrick Henry,RB,BAL,17.9,2.8,1.03,2.12
19,Patrick Mahomes,QB,KC,19.6,5.2,1.01,3.08
20,Jaylen Waddle,WR,MIA,19.9,2.3,1.12,3.05
21,Chris Olave,WR,NO,20.4,2.4,2.01,3.05
22,Josh Jacobs,RB,GB,21.9,3.3,1.04,3.09
23,DeVonta Smith,WR,PHI,23.3,2.9,2.01,3.1
24,Rhamondre Stevenson,RB,NE,23.4,3.3,1.09,3.08
25,Jonathan Taylor,RB,IND,25.9,4.3,1.07,4.04
26,Josh Allen,QB,BUF,26.6,4.3,1.02,4.01
27,Tee Higgins,WR,CIN,26.6,3.2,2.04,3.12
28,Jalen Hurts,QB,PHI,26.9,4.1,1.09,4.04
29,Mark Andrews,TE,BAL,28.9,4.2,1.07,4.06
30,Calvin Ridley,WR,TEN,29.2,4.4,2.02,4.06
31,Keenan Allen,WR,LAC,29.2,3.6,2.06,4.08
32,Najee Harris,RB,LAC,30.4,4.7,1.11,4.07
33,DK Metcalf,WR,PIT,30.8,4,2.08,4.07
34,Joe Mixon,RB,HOU,31.4,4.4,2.06,4.09
35,Travis Etienne Jr.,RB,JAX,34.7,5.4,1.05,4.12
36,Amari Cooper,WR,FA,35.4,4,2.1,4.1
37,Breece Hall,RB,NYJ,36.6,4.5,2.1,4.12
38,Jahmyr Gibbs,RB,DET,36.7,5.5,2.01,5.01
39,Lamar Jackson,QB,BAL,36.9,4.7,2.09,5.03
40,Deebo Samuel Sr.,WR,WAS,37.2,4.4,2.04,5.02
41,Aaron Jones Sr.,RB,MIN,38.9,4.3,2.07,5.05
42,DeAndre Hopkins,WR,BAL,41.4,4.9,2.07,5.09
43,Joe Burrow,QB,CIN,43.2,6.1,1.02,5.11
