#,Name,Pos,Team,Overall,Std.,High,Low
1,Christian McCaffrey,RB,SF,1.3,0.6,1.01,1.04
2,Bijan Robinson,RB,ATL,2,0.8,1.01,1.03
3,CeeDee Lamb,WR,DAL,2.6,0.8,1.01,1.04
4,Tyreek Hill,WR,FA,3.9,1.4,1.01,1.07
5,Breece Hall,RB,NYJ,4.4,1.6,1.01,1.08
6,Ja'Marr Chase,WR,CIN,6.3,1.2,1.04,1.09
7,Amon-Ra St. Brown,WR,DET,6.9,1.3,1.01,1.1
8,Justin Jefferson,WR,MIN,8.3,1.2,1.05,1.12
9,Jahmyr Gibbs,RB,DET,8.6,1.6,1.04,1.12
10,Saquon Barkley,RB,PHI,9.5,1.9,1.04,2.02
11,A.J. Brown,WR,PHI,11.2,1.7,1.07,2.04
12,Jonathan Taylor,RB,IND,11.3,2.1,1.06,2.06
13,Derrick Henry,RB,BAL,13.1,2.3,1.05,2.06
14,Garrett Wilson,WR,NYJ,13.3,2.2,1.06,2.06
15,Kyren Williams,RB,LAR,14.8,2.4,1.05,2.06
16,Puka Nacua,WR,LAR,14.9,2.2,1.09,2.08
17,Marvin Harrison Jr.,WR,ARI,16.1,2.8,1.06,2.08
18,Travis Etienne Jr.,RB,JAX,16.9,2.7,1.07,2.11
19,Deebo Samuel Sr.,WR,WAS,18.2,2.8,2.01,2.11
20,Josh Jacobs,RB,GB,19.9,2.7,2.02,3.04
21,Isiah Pacheco,RB,KC,21,3.3,2.01,3.08
22,Davante Adams,WR,LAR,21,3,1.12,3.02
23,De'Von Achane,RB,MIA,21.9,3.9,1.12,3.05
24,Cooper Kupp,WR,SEA,22.6,3.4,2.01,3.07
25,Drake London,WR,ATL,25.1,3,2.06,3.08
26,Chris Olave,WR,NO,25.3,3.3,2.06,3.08
27,Kenneth Walker III,RB,SEA,27.1,3.3,2.02,3.11
28,Josh Allen,QB,BUF,27.3,6.7,1.03,4.03
29,Joe Mixon,RB,HOU,28.4,3.7,2.09,3.12
30,Rachaad White,RB,TB,29.1,2.6,3.02,3.12
31,Mike Evans,WR,TB,29.1,3.2,2.08,4.01
32,Jaylen Waddle,WR,MIA,30.9,3.7,2.07,4.02
33,Nico Collins,WR,HOU,31.3,4.5,2.09,4.05
34,Travis Kelce,TE,KC,32,5.1,2.08,4.08
35,James Cook,RB,BUF,32,3.4,2.08,4.03
36,Sam LaPorta,TE,DET,33.4,4.2,2.1,4.07
