adp,Name,Pos,Team,Overall,Std.,High,Low
97,Jamison Crowder,WR,FA,102.6,7.2,7.01,10.11
98,Mecole Hardman,WR,BUF,106.1,9.1,7.03,11.02
99,San Francisco Defense,DEF,SF,106.3,9.4,4.12,11.05
100,Sony Michel,RB,FA,107.4,9.4,5.05,11.07
101,Carson Wentz,QB,MIN,107.9,9.4,6.06,11.07
102,Jalen Reagor,WR,FA,109.5,6.4,8.03,11.12
103,Matthew Stafford,QB,LAR,111.3,8.1,7.11,11.11
104,A.J. Dillon,RB,PHI,111.9,8,6.09,12.06
105,Jerry Jeudy,WR,CLE,112.3,7.7,7.1,11.08
106,Darius Slayton,WR,NYG,113.2,7.5,7.03,11.08
107,Darrell Henderson Jr.,RB,FA,114.1,7.3,8.05,11.12
108,Christian Kirk,WR,HOU,116.9,7.6,8.03,11.12
109,Sterling Shepard,WR,TB,118.9,9.2,6.01,13.04
110,Baltimore Defense,DEF,BAL,119.3,6.3,9.02,12.07
111,Tony Pollard,RB,TEN,119.4,8.7,8.03,12.11
112,Noah Fant,TE,CIN,119.6,13.7,7.04,13.07
113,Pittsburgh Defense,DEF,PIT,119.6,9.4,3.01,12.09
114,Boston Scott,RB,FA,120.1,9.1,7.12,13.04
115,Justin Jefferson,WR,MIN,121.5,10.3,6.03,12.06
116,Daniel Jones,QB,IND,125.4,9.3,8.06,12.12
117,Buffalo Defense,DEF,BUF,126.3,8.5,9.01,13.02
118,Anthony Miller,WR,FA,126.9,8.4,8.05,13.01
119,DeSean Jackson,WR,FA,127.1,9.3,9.01,13.06
120,Preston Williams,WR,FA,130.9,9.1,8.05,13.01
121,Duke Johnson,RB,FA,131,11,8.11,15.01
122,Allen Lazard,WR,FA,131,8.7,8.07,13.04
123,Ke'Shawn Vaughn,RB,FA,134.4,10.6,9.01,14.1
124,Ryquell Armstead,RB,FA,135.3,26.8,5.06,16.07
125,Joe Burrow,QB,CIN,135.7,9.2,7.03,14.12
126,Brandon Aiyuk,WR,SF,135.9,9.4,8.09,14.09
127,Austin Hooper,TE,NE,136.7,18.8,5.12,15.1
