player_name,position,season,fpts_pg,fpts_season,vorp_pg,vorp_season,replacement_pg,est_games,adp,adp_round
Marlon Mack,RB,2021,2.01,20.1,-4.29,-42.9,6.3,10,157.9,14
Phillip Lindsay,RB,2021,1.35,13.5,-4.95,-49.5,6.3,10,104.5,9
Marquez Valdes-Scantling,WR,2021,3.44,34.4,-5.18,-51.8,8.62,10,158.7,14
Darrel Williams,RB,2021,3.93,39.3,-2.37,-23.7,6.3,10,148.1,13
Courtland Sutton,WR,2021,5.1,51.0,-3.52,-35.2,8.62,10,81.8,7
Dallas Goedert,TE,2021,7.4,74.0,1.24,12.4,6.16,10,88.1,8
Nyheim Hines,RB,2021,2.43,24.3,-3.87,-38.7,6.3,10,120.2,11
Justin Jackson,RB,2021,2.16,21.6,-4.14,-41.4,6.3,10,169.0,15
Chase Edmonds,RB,2021,6.59,98.8,0.29,4.4,6.3,15,58.1,5
Rashaad Penny,RB,2021,3.91,58.6,-2.39,-35.8,6.3,15,127.4,11
Mark Andrews,TE,2021,10.04,150.6,3.88,58.2,6.16,15,53.1,5
Michael Gallup,WR,2021,6.72,100.8,-1.9,-28.5,8.62,15,135.8,12
Tre'Quan Smith,WR,2021,4.92,49.2,-3.7,-37.0,8.62,10,175.8,15
Nick Chubb,RB,2021,9.16,137.4,2.86,42.9,6.3,15,7.9,1
Lamar Jackson,QB,2021,13.84,207.6,-1.7,-25.5,15.54,15,48.5,5
Ronald Jones,RB,2021,2.91,29.1,-3.39,-33.9,6.3,10,74.5,7
DJ Moore,WR,2021,10.9,163.5,2.28,34.2,8.62,15,59.9,5
Mike Gesicki,TE,2021,7.12,106.8,0.96,14.4,6.16,15,102.4,9
Calvin Ridley,WR,2021,9.7,145.5,1.08,16.2,8.62,15,19.0,2
Saquon Barkley,RB,2021,6.64,99.6,0.34,5.1,6.3,15,10.2,1
Sony Michel,RB,2021,5.02,75.3,-1.28,-19.2,6.3,15,114.1,10
Baker Mayfield,QB,2021,12.8,192.0,-2.74,-41.1,15.54,15,136.0,12
Josh Allen,QB,2021,18.4,276.0,2.86,42.9,15.54,15,34.6,3
Jakobi Meyers,WR,2021,7.53,113.0,-1.09,-16.4,8.62,15,135.2,12
Alexander Mattison,RB,2021,2.11,21.1,-4.19,-41.9,6.3,10,106.6,9
Mecole Hardman,WR,2021,4.54,45.4,-4.08,-40.8,8.62,10,109.5,10
Diontae Johnson,WR,2021,11.54,173.1,2.92,43.8,8.62,15,48.7,5
