season,position,adp_round,avg_vorp_pg,median_vorp_pg,avg_fpts_pg,hit_rate,bust_rate,elite_rate,n
2021,QB,5,1.1400000000000001,1.1400000000000001,16.68,50.0,50.0,50.0,2
2021,QB,6,3.14,3.04,18.68,100.0,0.0,66.66666666666666,3
2021,QB,8,0.5133333333333335,-3.06,16.053333333333335,33.33333333333333,66.66666666666666,33.33333333333333,3
2021,QB,10,-3.4000000000000004,-3.4000000000000004,12.14,50.0,50.0,50.0,2
2021,QB,11,-4.08,-2.9,11.46,0.0,100.0,0.0,3
2021,QB,12,-4.18,-4.18,11.36,0.0,100.0,0.0,2
2021,QB,13,0.29000000000000004,0.29000000000000004,15.83,50.0,50.0,0.0,2
2021,QB,15,-3.24,-3.24,12.3,50.0,50.0,0.0,2
2021,RB,1,4.432222222222222,2.86,10.732222222222223,77.77777777777779,11.11111111111111,44.44444444444444,9
2021,RB,2,2.2424999999999997,1.415,8.5425,50.0,25.0,25.0,4
2021,RB,3,2.69,2.18,8.99,75.0,25.0,50.0,4
2021,RB,4,0.27249999999999996,-0.39,6.5725,25.0,50.0,25.0,4
2021,RB,5,1.9766666666666666,0.29,8.276666666666667,33.33333333333333,33.33333333333333,33.33333333333333,3
2021,RB,7,-3.2350000000000003,-3.2350000000000003,3.0650000000000004,0.0,100.0,0.0,2
2021,RB,8,1.8166666666666664,1.11,8.116666666666667,66.66666666666666,33.33333333333333,33.33333333333333,3
2021,RB,9,-2.7116666666666664,-3.09,3.5883333333333334,0.0,100.0,0.0,6
2021,RB,10,-2.315,-2.315,3.985,0.0,100.0,0.0,2
2021,RB,11,-3.596,-3.49,2.7039999999999997,0.0,100.0,0.0,5
2021,RB,12,-1.81,-1.81,4.49,0.0,100.0,0.0,2
2021,RB,13,-3.3533333333333335,-3.57,2.9466666666666668,0.0,100.0,0.0,3
2021,RB,14,-4.526666666666666,-4.68,1.7733333333333334,0.0,100.0,0.0,6
2021,TE,5,2.725,2.725,8.885,100.0,0.0,50.0,2
2021,TE,8,-1.38,-1.38,4.78,50.0,50.0,0.0,2
2021,TE,9,0.48,0.48,6.640000000000001,0.0,0.0,0.0,2
2021,TE,13,-2.1199999999999997,-1.96,4.04,0.0,100.0,0.0,3
2021,TE,14,-0.8266666666666667,-1.29,5.333333333333333,0.0,66.66666666666666,0.0,3
2021,WR,1,4.455,4.455,13.075,100.0,0.0,50.0,2
2021,WR,2,4.622,5.17,13.241999999999999,80.0,0.0,60.0,5
2021,WR,3,0.62,0.24000000000000002,9.24,25.0,50.0,0.0,4
2021,WR,4,2.493333333333333,-0.26500000000000007,11.113333333333332,33.33333333333333,50.0,33.33333333333333,6
2021,WR,5,1.45,2.28,10.07,60.0,40.0,20.0,5
2021,WR,6,-1.73,-1.745,6.890000000000001,0.0,75.0,0.0,4
