#,Name,Pos,Team,Overall,Std.,High,Low
1,Justin Jefferson,WR,MIN,1.4,0.7,1.01,1.08
2,Christian McCaffrey,RB,SF,2.3,1,1.01,1.12
3,Austin Ekeler,RB,WAS,2.5,2,1.01,2.05
4,Tyreek Hill,WR,FA,4.6,2.2,1.01,3.08
5,Travis Kelce,TE,KC,5.3,2.9,1.01,4.05
6,Ja'Marr Chase,WR,CIN,5.6,2.5,1.01,6.05
7,Nick Chubb,RB,HOU,6,3.5,1.01,5.08
8,Bijan Robinson,RB,ATL,7.4,3.9,1.01,7.08
9,Cooper Kupp,WR,SEA,8.9,4.5,1.03,8.05
10,Saquon Barkley,RB,PHI,9.7,4.9,1.02,9.08
11,Stefon Diggs,WR,NE,11.1,5.6,1.03,10.05
12,Derrick Henry,RB,BAL,12.6,7.3,1.02,11.08
13,Tony Pollard,RB,TEN,13.5,6.1,1.04,13.08
14,A.J. Brown,WR,PHI,13.6,6.2,1.01,12.05
15,CeeDee Lamb,WR,DAL,15.4,8.9,1.06,15.03
16,Amon-Ra St. Brown,WR,DET,17.1,8.2,1.04,15.08
17,Davante Adams,WR,LAR,17.3,10.4,1.06,15.08
18,Garrett Wilson,WR,NYJ,17.3,6.8,1.03,15.07
19,Patrick Mahomes,QB,KC,18.4,11,1.01,15.09
20,Josh Jacobs,RB,GB,19.1,8.2,1.08,15.1
21,Jaylen Waddle,WR,MIA,22.8,12,2.02,15.09
22,Chris Olave,WR,NO,23.2,9,1.12,14.04
23,Jonathan Taylor,RB,IND,24.8,18.1,2.01,13.09
24,Josh Allen,QB,BUF,25.1,10.5,1.05,14.05
25,Rhamondre Stevenson,RB,NE,25.5,13.7,2.01,15.07
26,Jalen Hurts,QB,PHI,25.7,9.8,1.02,15.06
27,Najee Harris,RB,LAC,27.1,12.1,2.01,15.03
28,Travis Etienne Jr.,RB,JAX,28.4,9.2,2.02,14.07
29,Tee Higgins,WR,CIN,28.5,11.9,2.06,14.12
30,DeVonta Smith,WR,PHI,30.1,7.1,2.05,12.02
31,Joe Mixon,RB,HOU,31,5.5,2.04,11.09
32,Breece Hall,RB,NYJ,31.1,10,2.09,12.1
33,Amari Cooper,WR,FA,31.2,8.5,1.09,11.11
34,Mark Andrews,TE,BAL,32.3,5.7,1.12,11.07
35,Deebo Samuel Sr.,WR,WAS,33.5,7.2,2.09,12.06
36,DK Metcalf,WR,PIT,35.1,5.4,1.06,8.12
37,Aaron Jones Sr.,RB,MIN,35.8,4.8,1.01,4.1
38,Lamar Jackson,QB,BAL,35.9,5.8,1.04,8.11
39,Calvin Ridley,WR,TEN,36.1,10.5,2.06,15.11
40,Jahmyr Gibbs,RB,DET,36.1,5.7,1.01,5.02
41,Kenneth Walker III,RB,SEA,39.5,5.9,1.03,5.04
42,Joe Burrow,QB,CIN,40.9,6,1.09,7.12
43,DJ Moore,WR,BUF,41.7,4.5,1.12,5.06
44,Keenan Allen,WR,LAC,42.7,4.7,2.01,5.07
45,Justin Herbert,QB,LAC,44.9,6,2.07,10.08
46,Jerry Jeudy,WR,CLE,45.4,6,2.05,5.12
47,Miles Sanders,RB,DAL,45.9,5.6,3.03,8.08
48,J.K. Dobbins,RB,DEN,46,4.6,3.05,5.11
49,Justin Fields,QB,NYJ,47.7,7.3,2.04,14.08
50,Cam Akers,RB,SEA,48.6,5.5,2.08,7.05
51,Christian Watson,WR,GB,49.1,5.5,2.08,8.11
52,Alexander Mattison,RB,MIA,50.2,5.5,3.04,9.01
53,Dameon Pierce,RB,KC,50.7,5.7,2.01,6.11
54,Terry McLaurin,WR,WAS,51.6,6.8,3.02,11.06
55,T.J. Hockenson,TE,MIN,52.6,6.7,2.1,9.09
56,DeAndre Hopkins,WR,BAL,52.7,6.1,2.1,9.03
57,Trevor Lawrence,QB,JAX,56.1,5.4,4.03,10.08
58,Drake London,WR,ATL,56.2,6.2,2.11,10.1
59,James Conner,RB,ARI,57.2,5.4,3.12,9.1
60,Brandon Aiyuk,WR,SF,58.9,5.9,4.03,10.03
61,George Kittle,TE,SF,59,6.2,2.11,7.11
62,Isiah Pacheco,RB,KC,59.6,5,4.01,7.01
63,Mike Williams,WR,FA,60.3,6,3.09,10.06
64,David Montgomery,RB,HOU,62.4,6.8,3.12,8.09
65,Tyler Lockett,WR,LV,62.7,6.5,3.09,8.09
66,Rachaad White,RB,TB,63.2,5.6,3.08,7.07
67,Christian Kirk,WR,HOU,64,6.3,3.11,7.12
68,Javonte Williams,RB,DAL,65.7,6.7,3.01,7.11
69,Alvin Kamara,RB,NO,66.1,7.9,1.11,7.12
70,Mike Evans,WR,TB,66.2,6.9,3.04,7.11
71,Chris Godwin Jr.,WR,TB,68.1,8.2,2.02,8.02
72,D'Andre Swift,RB,CHI,69.3,9.7,1.11,7.1
73,Darren Waller,TE,MIA,70.3,10.4,1.12,8.11
74,Marquise Brown,WR,KC,70.8,16,1.01,8.09
75,Deshaun Watson,QB,CLE,71.3,18.4,4.12,15.12
76,Diontae Johnson,WR,FA,71.4,9.1,1.04,8.07
77,James Cook,RB,BUF,71.6,8.9,1.03,8.05
78,Kyle Pitts Sr.,TE,ATL,73.5,10.7,1.03,8.07
79,Michael Pittman Jr.,WR,IND,75.7,11.5,1.11,8.1
80,George Pickens,WR,DAL,76.5,8.7,1.08,9.01
81,Dak Prescott,QB,DAL,76.6,11.7,1.04,9.03
82,Jahan Dotson,WR,PHI,78.8,8.3,2.01,8.11
83,Brian Robinson Jr.,RB,SF,79.5,8.4,2.08,8.08
84,Tua Tagovailoa,QB,MIA,81.2,10.1,5.02,11.07
85,Dallas Goedert,TE,PHI,82.4,8.2,4.04,9.03
86,Gabe Davis,WR,BUF,83,8.3,3.02,10.07
87,Rashaad Penny,RB,FA,83.1,10.2,3.07,8.12
88,A.J. Dillon,RB,PHI,85.2,8.2,2.1,9.07
89,Jordan Addison,WR,MIN,85.4,7.5,2.03,9.05
90,Antonio Gibson,RB,FA,87.6,7.5,4.1,10.02
91,Jamaal Williams,RB,FA,88.6,7.2,5.03,9.11
92,Jaxon Smith-Njigba,WR,SEA,89.5,7.9,3.03,10.04
93,Kirk Cousins,QB,ATL,90.6,12,4.05,11.01
94,Treylon Burks,WR,WAS,90.7,9.1,4.09,9.11
95,Brandin Cooks,WR,BUF,91.5,7.1,4.06,9.1
96,Courtland Sutton,WR,DEN,92.9,7.8,3.01,10.12
97,Samaje Perine,RB,CIN,93.9,7.6,6.06,10.06
98,Daniel Jones,QB,IND,94.1,9.5,5.07,10.08
99,Quentin Johnston,WR,LAC,95.8,9.3,5.02,10.06
100,Damien Harris,RB,FA,96.2,9.4,5.04,10.07
101,Zach Charbonnet,RB,SEA,97.2,7.8,5.05,11.02
102,Kadarius Toney,WR,FA,98.1,9.5,4.09,10.12
103,Khalil Herbert,RB,NYJ,98.1,9.3,5.08,10.11
104,Pat Freiermuth,TE,PIT,98.5,10.3,6.02,11.09
105,Elijah Mitchell,RB,NE,100.6,8.4,4.1,10.11
106,Aaron Rodgers,QB,PIT,100.9,11.1,5.06,13.05
107,Elijah Moore,WR,FA,101.4,8.2,5.03,10.12
108,Geno Smith,QB,LV,104.1,9.5,6.08,11.1
109,Zay Flowers,WR,BAL,104.8,8.6,5.03,12.07
110,Rashod Bateman,WR,BAL,106.1,8.9,7.02,11.03
111,Michael Thomas,WR,FA,107,9.3,4.08,12.12
112,Evan Engram,TE,DEN,108.9,13,5.12,12.11
113,Tyler Allgeier,RB,ATL,109.2,8.6,5.11,11.07
114,Raheem Mostert,RB,LV,110.2,7.9,7.1,11.07
115,Dalton Schultz,TE,HOU,110.4,14.6,6.07,13.05
116,JuJu Smith-Schuster,WR,KC,110.7,9.9,6.02,13.06
117,Jameson Williams,WR,DET,112.2,9.8,6.08,13.02
118,De'Von Achane,RB,MIA,113.7,8.2,7.06,13.02
119,Kenneth Gainwell,RB,PIT,114.1,9.1,8.01,12.08
120,Odell Beckham Jr.,WR,FA,114.5,9.8,7.01,13.01
121,David Njoku,TE,CLE,114.5,12.9,7.05,13.04
122,D'Onta Foreman,RB,FA,118.2,12.5,5.06,12.02
123,Allen Lazard,WR,FA,120.6,11.7,6.06,13.06
124,Jerick McKinnon,RB,FA,120.6,9.6,7.09,13.05
125,Jared Goff,QB,DET,120.7,12.7,7.03,13.06
126,Skyy Moore,WR,SF,121.7,10,6.11,13.05
127,Devin Singletary,RB,NYG,122,14.6,3.06,13.03
128,Darnell Mooney,WR,ATL,122.5,10.7,8.07,13.06
129,San Francisco Defense,DEF,SF,123.3,15.9,2.04,14.01
130,Cordarrelle Patterson,RB,FA,125.4,11.1,8.09,13.06
131,Adam Thielen,WR,FA,125.5,9.8,8.09,13.06
132,Nico Collins,WR,HOU,126.4,9.8,8.07,13.05
133,Russell Wilson,QB,NYG,128.1,13.9,8.05,15.12
134,Clyde Edwards-Helaire,RB,FA,128.5,10.5,8.04,13.02
135,Jaylen Warren,RB,PIT,128.8,11.5,6.1,14.03
136,Dawson Knox,TE,BUF,130.2,12.8,8.05,13.07
137,Dallas Defense,DEF,DAL,132.3,19.2,7.11,14.11
138,Cole Kmet,TE,CHI,132.7,14.8,7.07,15.09
139,Jakobi Meyers,WR,JAX,132.9,9,9.12,14.11
140,Chig Okonkwo,TE,TEN,132.9,12.3,7.03,15.1
141,Anthony Richardson Sr.,QB,IND,133.2,17.9,6.1,16.01
142,Zamir White,RB,LV,133.5,9.4,10.02,13.04
143,Tyler Boyd,WR,FA,134.6,8.3,9.1,13.09
144,Rondale Moore,WR,FA,135.2,10.1,9.09,13.03
145,Justin Tucker,PK,FA,135.5,20.1,1.01,16.03
146,Buffalo Defense,DEF,BUF,135.6,15.3,5.12,14.08
147,Tank Bigsby,RB,PHI,137,13.9,9.01,15.12
148,Kyler Murray,QB,ARI,137.6,17.9,7.08,15.11
149,Philadelphia Defense,DEF,PHI,139.3,16.3,7.09,15.03
150,Daniel Carlson,PK,LV,139.9,21.8,3.08,16.01
151,Harrison Butker,PK,KC,140.1,22.1,2.05,16.04
152,Gus Edwards,RB,FA,141.3,12.9,10.01,15.02
153,Tyler Bass,PK,BUF,141.6,20.1,4.12,16.02
154,Hunter Renfrow,WR,FA,143.1,12,10.07,14.12
155,Zay Jones,WR,ARI,143.7,12.8,10.07,15.09
156,New Orleans Defense,DEF,NO,145.8,20.7,6.07,16.04
157,Jake Elliott,PK,PHI,145.9,23,3.09,16.08
158,Younghoe Koo,PK,FA,146.3,23.4,3.08,16.1
159,Romeo Doubs,WR,GB,148,15.9,8.05,16.01
160,Derek Carr,QB,FA,148.7,18.8,6.06,15.12
161,Evan McPherson,PK,CIN,149.7,20.8,2.04,16.11
162,Dalton Kincaid,TE,BUF,149.9,20,8.03,17.02
163,Denver Defense,DEF,DEN,150,13,10.05,16.03
164,Baltimore Defense,DEF,BAL,150.2,17.9,10.01,16.08
165,New England Defense,DEF,NE,152.4,14.7,9.06,16.02
166,Tyler Higbee,TE,LAR,152.7,18.7,8.04,15.12
167,Gerald Everett,TE,FA,153.6,16.7,10.04,15.12
168,Chuba Hubbard,RB,CAR,153.8,16,9.04,15.11
169,Brandon McManus,PK,GB,154.3,18.6,7.08,16.11
170,Roschon Johnson,RB,CHI,154.6,21.2,9.04,18.01
171,Michael Gallup,WR,FA,155,16.4,7.1,15.12
172,Matthew Stafford,QB,LAR,155.1,17.4,10.06,15.11
173,Sam LaPorta,TE,DET,155.5,22,9.04,18.02
174,Brock Purdy,QB,SF,155.8,21.9,4.05,18.02
175,Greg Dulcich,TE,MIA,156.8,16.3,10.09,16.02
176,Donovan Peoples-Jones,WR,FA,157.7,14,10.05,15.12
177,Jordan Love,QB,GB,158.2,23.2,8.11,18.03
178,Jerome Ford,RB,CLE,158.9,14.1,9.08,15.11
179,Pittsburgh Defense,DEF,PIT,159.6,19.1,10.04,17.05
180,Kenny Pickett,QB,LV,160.2,25.9,7.03,18.05
181,Mike Gesicki,TE,CIN,160.6,26.1,7.03,18.03
182,Marquez Valdes-Scantling,WR,PIT,162.8,12.6,9.04,15.12
183,K.J. Osborn,WR,FA,163,13.6,10.07,15.12
184,Graham Gano,PK,NYG,163.1,25.5,5.01,17.11
185,Wan'Dale Robinson,WR,NYG,163.5,12.2,11.06,16.11
186,Chase Claypool,WR,FA,164,10.7,12.08,16.02
187,Joshua Kelley,RB,FA,164.1,13.4,11.08,17.02
188,Leonard Fournette,RB,FA,164.4,15.5,11.11,17.07
189,Allen Robinson II,WR,FA,164.5,10,12.01,15.12
190,Miami Defense,DEF,MIA,165.1,16.7,10.02,16.12
191,Jalin Hyatt,WR,NYG,165.5,24.1,10.11,18.06
192,Justyn Ross,WR,FA,166.5,20,11.02,18.02
193,Jason Sanders,PK,MIA,167.2,19.1,8.12,17.09
194,Kansas City Defense,DEF,KC,167.9,18.8,10.08,17.1
195,Washington Defense,DEF,WAS,168.9,22.3,6.11,18.05
196,Zack Moss,RB,FA,170.5,17.8,11.07,17.11
197,Jason Myers,PK,SEA,170.9,21.4,7.08,18.06
