adp,Name,Pos,Team,Overall,Std.,High,Low
1,Christian McCaffrey,RB,SF,1.2,0.5,1.01,1.05
2,Dalvin Cook,RB,FA,2.5,0.7,1.01,1.06
3,Alvin Kamara,RB,NO,3.8,1,1.01,1.08
4,Derrick Henry,RB,BAL,4,1.3,1.01,1.08
5,Ezekiel Elliott,RB,FA,5.3,1.1,1.02,1.12
6,Davante Adams,WR,LAR,6.4,1.6,1.01,1.12
7,Aaron Jones Sr.,RB,MIN,7.5,1.7,1.04,2.01
8,Travis Kelce,TE,KC,8.2,2.1,1.02,2.03
9,Austin Ekeler,RB,WAS,8.5,2,1.02,2.04
10,Nick Chubb,RB,HOU,9.9,2.2,1.05,2.06
11,Tyreek Hill,WR,FA,10.6,2.2,1.01,2.04
12,Saquon Barkley,RB,PHI,12,2.8,1.03,2.08
13,Najee Harris,RB,LAC,12.9,2.5,1.02,2.07
14,Stefon Diggs,WR,NE,13.5,2.4,1.05,2.09
15,Jonathan Taylor,RB,IND,13.8,2.6,1.04,2.08
16,Antonio Gibson,RB,FA,15.6,2.3,1.07,2.1
17,DeAndre Hopkins,WR,BAL,17,2.3,1.07,2.11
18,Calvin Ridley,WR,TEN,18,2.1,1.09,3.01
19,Joe Mixon,RB,HOU,19.2,2.6,1.11,3.04
20,DK Metcalf,WR,PIT,19.7,2.3,1.07,3.02
21,Clyde Edwards-Helaire,RB,FA,20.4,2.3,2.01,3.06
22,Darren Waller,TE,MIA,21.5,3.3,1.05,3.06
23,Justin Jefferson,WR,MIN,22.4,1.9,2.01,3.04
24,Patrick Mahomes,QB,KC,22.9,6.2,1.01,4.04
25,A.J. Brown,WR,PHI,24.8,2.4,2.04,3.08
26,David Montgomery,RB,HOU,25.9,3.4,2.02,3.12
27,Keenan Allen,WR,LAC,25.9,2.6,2.04,3.12
28,George Kittle,TE,SF,28.5,3.6,1.11,4.05
29,James Robinson,RB,FA,29.1,3.3,1.12,4.05
30,CeeDee Lamb,WR,DAL,29.6,2.8,2.05,4.03
