attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,138.0,0.9,33.2,00-0032385,Sterling Shepard,WR,NYG,32.0,0.8,Medium,10,13,80.3,-47.099999999999994,47.099999999999994,-58.7
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,233.0,0.9,52.7,00-0032392,Austin Hooper,TE,LV,30.0,1.0,High,16,17,108.6,-55.89999999999999,55.89999999999999,-51.5
,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,327.0,0.6,60.3,00-0032464,Kalif Raymond,WR,DET,30.0,0.93,High,17,11,63.2,-2.9000000000000057,2.9000000000000057,-4.6
,,0.0,0.0,0.0,156.0,678.0,6.5,19.0,15.0,132.0,0.6,138.6,00-0032764,Derrick Henry,RB,TEN,31.0,0.54,High,17,19,381.4,-242.79999999999998,242.79999999999998,-63.7
,,0.0,0.0,0.0,0.0,0.0,0.0,73.0,47.0,601.0,5.2,138.3,00-0032775,Demarcus Robinson,WR,LA,30.0,0.93,Medium,9,19,137.2,1.1000000000000227,1.1000000000000227,0.8
,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,66.0,722.0,3.2,157.4,00-0033009,Tyler Boyd,WR,CIN,30.0,0.93,High,17,15,78.3,79.10000000000001,79.10000000000001,101.0
,,0.0,0.0,0.0,0.0,0.0,0.0,163.0,113.0,1622.0,11.0,341.2,00-0033040,Tyreek Hill,WR,MIA,31.0,0.87,High,17,17,218.2,123.0,123.0,56.4
,,0.0,0.0,0.0,143.0,525.0,4.2,39.0,30.0,179.0,1.2,132.8,00-0033045,Ezekiel Elliott,RB,NE,29.0,0.76,High,17,15,57.5,75.30000000000001,75.30000000000001,131.0
615.0,421.0,4646.0,33.8,13.3,264.0,264.0,2.7,0.0,0.0,0.0,0.0,337.0,00-0033077,Dak Prescott,QB,DAL,31.0,1.02,High,18,8,116.52,220.48000000000002,220.48000000000002,189.2
,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,51.0,550.0,6.1,142.6,00-0033090,Hunter Henry,TE,NE,30.0,1.0,Medium,13,16,145.4,-2.8000000000000114,2.8000000000000114,-1.9
614.0,410.0,4547.0,28.2,9.8,52.0,51.0,1.3,0.0,0.0,0.0,0.0,288.0,00-0033106,Jared Goff,QB,DET,30.0,1.03,High,20,18,333.68,-45.68000000000001,45.68000000000001,-13.7
,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,153.0,2.2,41.5,00-0033217,Mo Alie-Cox,TE,IND,31.0,0.97,Medium,13,12,32.7,8.799999999999997,8.799999999999997,26.9
,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,157.0,0.8,36.5,00-0033246,Johnny Mundt,TE,MIN,30.0,1.0,Medium,9,14,50.0,-13.5,13.5,-27.0
,,0.0,0.0,0.0,0.0,0.0,0.0,87.0,61.0,604.0,3.5,142.4,00-0033282,Curtis Samuel,WR,WAS,28.0,1.02,High,16,17,89.8,52.60000000000001,52.60000000000001,58.6
,,0.0,0.0,0.0,0.0,0.0,0.0,82.0,59.0,849.0,6.1,180.5,00-0033288,George Kittle,TE,SF,31.0,0.97,High,19,15,236.6,-56.099999999999994,56.099999999999994,-23.7
,,0.0,0.0,0.0,128.0,637.0,3.1,39.0,29.0,213.0,1.2,139.8,00-0033293,Aaron Jones,RB,GB,30.0,0.65,Medium,13,18,250.6,-110.79999999999998,110.79999999999998,-44.2
,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,62.0,726.0,5.8,169.4,00-0033307,Kendrick Bourne,WR,NE,29.0,0.98,Medium,8,12,65.1,104.30000000000001,104.30000000000001,160.2
,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,197.0,1.7,51.9,00-0033357,Taysom Hill,TE,NO,34.0,0.79,High,16,8,102.34,-50.440000000000005,50.440000000000005,-49.3
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,290.0,1.0,59.0,00-0033439,Pharaoh Brown,TE,NE,30.0,1.0,Medium,9,8,12.5,46.5,46.5,372.0
,,0.0,0.0,0.0,26.0,112.0,0.6,39.0,33.0,279.0,1.2,82.9,00-0033526,Samaje Perine,RB,DEN,29.0,0.76,High,17,20,84.9,-2.0,2.0,-2.4
518.0,319.0,3505.0,22.4,12.4,458.0,435.0,2.9,0.0,0.0,0.0,0.0,265.9,00-0033537,Deshaun Watson,QB,CLE,29.0,1.03,Low,6,7,76.72,189.17999999999998,189.17999999999998,246.6
,,0.0,0.0,0.0,158.0,734.0,6.3,26.0,21.0,140.0,0.8,151.0,00-0033553,James Conner,RB,ARI,29.0,0.76,Medium,13,16,253.8,-102.80000000000001,102.80000000000001,-40.5
,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,356.0,1.3,70.4,00-0033555,Mack Hollins,WR,ATL,31.0,0.87,Medium,9,19,120.2,-49.8,49.8,-41.4
,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,248.0,2.6,53.4,00-0033589,David Moore,WR,TB,30.0,0.93,Medium,8,14,85.10000000000001,-31.70000000000001,31.70000000000001,-37.3
,,0.0,0.0,0.0,0.0,0.0,0.0,77.0,46.0,702.0,2.5,131.2,00-0033591,Noah Brown,WR,HOU,29.0,0.98,Medium,11,11,86.30000000000001,44.89999999999998,44.89999999999998,52.0
218.0,137.0,1479.0,6.4,5.3,-12.0,-8.0,0.0,0.0,0.0,0.0,0.0,73.4,00-0033662,Cooper Rush,QB,DAL,31.0,1.02,Low,7,12,109.56,-36.16,36.16,-33.0
