ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
8.03,87.2,Dak Prescott,QB,DAL,59,9.6,65,112,10
8.04,87.7,Mark Andrews,TE,BAL,26,14.7,49,133,7
8.07,91.1,Evan Engram,TE,DEN,45,11.1,72,127,12
8.08,92.4,Cooper Kupp,WR,SEA,32,6,78,109,8
8.1,94,J.K. Dobbins,RB,DEN,56,9,74,113,12
8.1,94,Rashee Rice,WR,KC,82,8.3,72,107,10
8.11,94.5,Darnell Mooney,WR,ATL,13,14,58,107,5
8.12,96.1,Jared Goff,QB,DET,33,16.5,53,125,8
9.02,98.2,Tyler Warren,TE,IND,87,15,73,147,11
9.02,98.3,Caleb Williams,QB,CHI,19,13.6,68,114,5
9.04,100,Keon Coleman,WR,BUF,45,7.4,80,110,7
9.04,100.3,Zach Charbonnet,RB,SEA,59,10.1,74,121,8
9.05,100.9,Jordan Addison,WR,MIN,50,6.3,84,121,6
9.06,101.6,Javonte Williams,RB,DAL,62,16.2,65,142,10
9.06,102.1,Chris Godwin Jr.,WR,TB,23,6.2,85,110,9
9.07,102.5,Rashid Shaheed,WR,SEA,13,4.8,94,112,8
9.07,102.7,Denver Defense,DEF,DEN,29,10.2,76,120,12
9.09,104.7,J.J. McCarthy,QB,MIN,24,9.1,89,118,6
9.09,104.7,Travis Etienne Jr.,RB,JAX,71,15,65,141,8
9.1,105.9,Jordan Mason,RB,MIN,110,13.9,71,136,6
9.12,107.7,Philadelphia Defense,DEF,PHI,19,16.6,64,129,9
9.12,107.7,Drake Maye,QB,NE,40,12.1,76,130,14
10.02,109.8,Justin Herbert,QB,LAC,30,9.8,84,121,12
10.02,110.5,Jacory Croskey-Merritt,RB,WAS,85,16.1,72,143,12
10.03,111,Justin Fields,QB,NYJ,22,12,84,126,9
10.03,111.4,Pittsburgh Defense,DEF,PIT,11,12.2,94,132,5
10.04,111.5,Jayden Reed,WR,GB,11,5.7,99,119,5
10.06,114,Wan'Dale Robinson,WR,NYG,12,14.3,96,135,14
10.06,114,Christian Kirk,WR,HOU,33,8,95,127,6
10.06,114.3,Keenan Allen,WR,LAC,52,9.2,98,139,12
10.08,115.5,Baltimore Defense,DEF,BAL,23,17.6,69,128,7
10.08,115.7,Tucker Kraft,TE,GB,37,19.6,77,148,5
10.12,119.7,Jake Ferguson,TE,DAL,25,12.5,100,149,10
10.12,119.9,Jordan Love,QB,GB,41,8.3,98,134,5
11.01,120.6,Marquise Brown,WR,KC,21,15.4,80,142,10
11.01,121.1,Green Bay Defense,DEF,GB,21,11.9,90,138,5
11.02,122.1,Rhamondre Stevenson,RB,NE,25,19,73,144,14
11.05,125.2,Quinshon Judkins,RB,CLE,18,14.6,87,143,9
11.07,127.1,Trevor Lawrence,QB,JAX,25,11.6,96,145,8
11.08,127.6,Marvin Mims Jr.,WR,DEN,38,10.2,100,146,12
11.08,127.9,Jerome Ford,RB,CLE,29,15.2,93,148,9
11.08,128.2,Rashod Bateman,WR,BAL,15,9.8,110,148,7
11.09,129.2,C.J. Stroud,QB,HOU,41,10.6,101,145,6
11.1,129.9,Dallas Goedert,TE,PHI,26,27.3,59,169,9
11.1,130.2,Jayden Higgins,WR,HOU,12,10.1,114,145,6
11.11,130.7,Buffalo Defense,DEF,BUF,12,7.5,115,140,7
11.11,131.2,Cam Skattebo,RB,NYG,29,14.2,102,149,14
12.02,133.5,Nick Chubb,RB,HOU,39,18.5,96,169,6
12.04,136.3,Houston Defense,DEF,HOU,25,11.6,111,172,6
12.05,136.7,Tank Bigsby,RB,PHI,42,18.4,107,172,9
12.05,136.9,Tua Tagovailoa,QB,MIA,10,8.2,124,150,12
12.05,137.1,Trey Benson,RB,ARI,17,16.8,107,160,8
12.05,137.2,Brandon Aubrey,PK,DAL,66,21.1,82,173,10
12.08,139.7,Dalton Kincaid,TE,BUF,23,17.2,100,162,7
12.08,139.8,San Francisco Defense,DEF,SF,19,19.2,96,178,14
12.09,140.7,Minnesota Defense,DEF,MIN,50,21.6,96,185,6
12.1,141.5,Bryce Young,QB,CAR,13,24.2,85,180,14
12.1,141.7,DeMario Douglas,WR,NE,10,7.1,130,151,14
12.11,143.2,Detroit Defense,DEF,DET,14,14.3,120,175,8
12.11,143.3,Joe Mixon,RB,HOU,20,22.8,96,179,6
12.11,143.5,Brandon Aiyuk,WR,SF,24,14.6,117,170,14
12.12,144,Cam Little,PK,JAX,12,14.1,112,170,8
13.01,144.5,Adam Thielen,WR,FA,11,36,50,176,0
13.01,144.8,Jake Bates,PK,DET,13,22,92,165,8
13.01,144.9,Kyle Pitts Sr.,TE,ATL,18,24.3,81,177,5
13.02,146,Cameron Dicker,PK,LAC,11,29.7,97,178,12
13.03,147.1,Colston Loveland,TE,CHI,41,18.9,118,179,5
13.04,147.9,Geno Smith,QB,LV,14,12.4,128,179,8
13.06,149.7,Jaydon Blue,RB,DAL,19,14,126,171,10
13.06,150.3,Luther Burden III,WR,CHI,20,11.1,135,169,5
13.07,150.5,Bhayshul Tuten,RB,JAX,11,20.2,127,182,8
13.07,151.2,Evan McPherson,PK,CIN,14,15.1,118,168,10
13.07,151.2,Zach Ertz,TE,WAS,12,18.1,110,172,12
13.07,151.5,LA Rams Defense,DEF,LAR,13,14.8,129,172,8
13.1,154,Tyler Allgeier,RB,ATL,13,14.7,144,183,5
13.12,155.6,Braelon Allen,RB,NYJ,13,18.7,127,180,9
14.01,156.7,Tyjae Spears,RB,TEN,11,13.9,134,179,10
14.03,159,Ollie Gordon II,RB,MIA,14,16.7,133,180,12
14.05,161.5,Ka'imi Fairbairn,PK,HOU,13,14.6,143,180,6
14.08,163.7,Dont'e Thornton Jr.,WR,LV,19,13.5,128,169,8
15.01,169.1,Amari Cooper,WR,FA,10,11.3,152,189,0
15.02,169.6,Daniel Carlson,PK,LV,20,6.5,168,197,8
