player_name,position,pos_rank,adp,adp_prev,adp_change,snapshot_date,team,fpts_ppr,model_overall_rank,model_pos_rank_str,value_score
Michael Mayer,TE,TE39,238.8,239.6,0.8,2026-04-01,LV,95.6,195.0,TE27,43.8
Andrei Iosivas,WR,WR110,238.9,239.2,0.3,2026-04-01,CIN,108.6,175.0,WR56,63.9
Jack Bech,WR,WR108,238.9,238.8,-0.1,2026-04-01,LV,43.9,325.0,WR123,-86.1
Kendrick Bourne,WR,WR110,238.9,239.5,0.6,2026-04-01,SF,82.3,221.0,WR82,17.9
Mack Hollins,WR,WR109,238.9,238.5,-0.4,2026-04-01,NE,101.5,188.0,WR64,50.9
Isaiah Bond,WR,WR112,239.0,239.0,-0.0,2026-04-01,CLE,32.2,376.0,WR143,-137.0
Kaleb Johnson,RB,RB81,239.1,239.1,-0.0,2026-04-01,,,,,
Elijah Arroyo,TE,TE40,239.2,239.2,-0.0,2026-04-01,SEA,36.5,354.0,TE72,-114.8
Isaac Guerendo,RB,RB82,239.2,239.8,0.6,2026-04-01,,,,,
J.J. McCarthy,QB,QB39,239.2,238.9,-0.3,2026-04-01,MIN,199.0,63.0,QB32,176.2
Bryce Lance,WR,WR113,239.3,239.4,0.1,2026-04-01,,,,,
Dawson Knox,TE,TE41,239.3,238.8,-0.5,2026-04-01,BUF,69.0,245.0,TE44,-5.7
Cole Kmet,TE,TE42,239.4,239.4,-0.0,2026-04-01,CHI,90.2,204.0,TE30,35.4
Devin Neal,RB,RB83,239.4,239.6,0.2,2026-04-01,NO,64.4,255.0,RB58,-15.6
Tutu Atwell,WR,WR114,239.4,238.3,-1.1,2026-04-01,LA,50.5,302.0,WR113,-62.6
Ty Johnson,RB,RB84,239.4,238.4,-1.0,2026-04-01,BUF,54.9,282.0,RB69,-42.6
Brashard Smith,RB,RB85,239.5,239.4,-0.1,2026-04-01,KC,21.9,409.0,RB106,-169.5
Devontez Walker,WR,WR115,239.5,239.6,0.1,2026-04-01,BAL,54.0,288.0,WR108,-48.5
MarShawn Lloyd,RB,RB86,239.5,239.3,-0.2,2026-04-01,,,,,
Max Klare,TE,TE44,239.5,239.1,-0.4,2026-04-01,,,,,
Olamide Zaccheaus,WR,WR117,239.5,238.9,-0.6,2026-04-01,CHI,104.4,184.0,WR60,55.5
Oscar Delp,TE,TE45,239.5,239.9,0.4,2026-04-01,,,,,
Tyler Higbee,TE,TE43,239.5,239.8,0.3,2026-04-01,LA,79.9,224.0,TE37,15.5
Xavier Legette,WR,WR115,239.5,239.4,-0.1,2026-04-01,CAR,76.4,230.0,WR85,9.5
DeMario Douglas,WR,WR118,239.6,239.8,0.2,2026-04-01,NE,111.4,171.0,WR54,68.6
Ja'Tavion Sanders,TE,TE46,239.6,239.2,-0.4,2026-04-01,CAR,47.9,312.0,TE59,-72.4
Kalif Raymond,WR,WR119,239.6,239.9,0.3,2026-04-01,DET,48.7,307.0,WR114,-67.4
Luke McCaffrey,WR,WR120,239.6,239.8,0.2,2026-04-01,WAS,84.5,211.0,WR78,28.6
Samaje Perine,RB,RB87,239.6,239.8,0.2,2026-04-01,CIN,48.9,305.0,RB78,-65.4
Anthony Richardson,QB,QB40,239.7,239.4,-0.3,2026-04-01,,,,,
Chris Oladokun,QB,QB44,239.7,239.7,-0.0,2026-04-01,,,,,
Dresser Winn,QB,QB43,239.7,239.7,-0.0,2026-04-01,,,,,
Gardner Minshew II,QB,QB41,239.7,239.9,0.2,2026-04-01,,,,,
Jaylin Lane,WR,WR122,239.7,239.6,-0.1,2026-04-01,WAS,42.0,334.0,WR129,-94.3
Malik Davis,RB,RB88,239.7,239.9,0.2,2026-04-01,DAL,34.9,368.0,RB95,-128.3
Marvin Mims Jr.,WR,WR121,239.7,238.7,-1.0,2026-04-01,DEN,83.9,215.0,WR80,24.7
Michael Trigg,TE,TE48,239.7,239.8,0.1,2026-04-01,,,,,
Sam Roush,TE,TE47,239.7,239.8,0.1,2026-04-01,,,,,
Tahj Brooks,RB,RB89,239.7,239.8,0.1,2026-04-01,,,,,
Calvin Austin III,WR,WR123,239.8,239.4,-0.4,2026-04-01,PIT,101.9,186.0,WR62,53.8
Hendon Hooker,QB,QB43,239.8,239.8,-0.0,2026-04-01,,,,,
Isaiah Hodgins,WR,WR124,239.8,239.8,-0.0,2026-04-01,NYG,59.0,268.0,WR98,-28.2
J'Mari Taylor,RB,RB93,239.8,239.6,-0.2,2026-04-01,,,,,
Jalen Milroe,QB,QB42,239.8,239.9,0.1,2026-04-01,,,,,
Jerome Ford,RB,RB90,239.8,238.8,-1.0,2026-04-01,CLE,51.1,300.0,RB76,-60.2
Joe Flacco,QB,QB43,239.8,240.0,0.2,2026-04-01,CIN,141.0,129.0,QB49,110.8
John Metchie III,WR,WR126,239.8,239.8,-0.0,2026-04-01,NYJ,69.2,243.0,WR91,-3.2
KaVontae Turpin,WR,WR127,239.8,239.9,0.1,2026-04-01,DAL,56.8,275.0,WR102,-35.2
Kaden Davis,WR,WR123,239.8,239.8,-0.0,2026-04-01,,,,,
Kaelon Black,RB,RB93,239.8,240.0,0.2,2026-04-01,,,,,
Kareem Hunt,RB,RB91,239.8,239.7,-0.1,2026-04-01,KC,61.3,264.0,RB63,-24.2
KeAndre Lambert-Smith,WR,WR125,239.8,239.9,0.1,2026-04-01,LAC,26.5,394.0,WR154,-154.2
Tanner Conner,TE,TE50,239.8,239.8,-0.0,2026-04-01,MIA,38.8,346.0,TE70,-106.2
Trevor Etienne,RB,RB92,239.8,239.7,-0.1,2026-04-01,,,,,
Treylon Burks,WR,WR124,239.8,239.3,-0.5,2026-04-01,WAS,57.2,274.0,WR101,-34.2
Charlie Kolar,TE,TE55,239.9,239.6,-0.3,2026-04-01,BAL,40.1,341.0,TE68,-101.1
Cody White,WR,WR135,239.9,239.9,-0.0,2026-04-01,SEA,23.5,405.0,WR160,-165.1
De'Zhaun Stribling,WR,WR130,239.9,240.0,0.1,2026-04-01,,,,,
Demarcus Robinson,WR,WR134,239.9,240.0,0.1,2026-04-01,SF,48.0,311.0,WR117,-71.1
Dont'e Thornton,WR,WR135,239.9,239.8,-0.1,2026-04-01,,,,,
Elijah Moore,WR,WR128,239.9,240.0,0.1,2026-04-01,BUF,43.1,330.0,WR128,-90.1
Erick All,TE,TE54,239.9,240.0,0.1,2026-04-01,CIN,12.6,482.0,TE97,-242.1
Greg Dortch,WR,WR133,239.9,239.9,-0.0,2026-04-01,ARI,63.4,257.0,WR95,-17.1
Isaiah Davis,RB,RB97,239.9,239.7,-0.2,2026-04-01,NYJ,42.7,332.0,RB84,-92.1
Jam Miller,RB,RB96,239.9,239.8,-0.1,2026-04-01,,,,,
Jarquez Hunter,RB,RB97,239.9,239.9,-0.0,2026-04-01,,,,,
Jaydn Ott,RB,RB95,239.9,239.8,-0.1,2026-04-01,,,,,
Joe Milton,QB,QB44,239.9,240.0,0.1,2026-04-01,,,,,
Kenny McIntosh,RB,RB102,239.9,239.9,-0.0,2026-04-01,,,,,
Le'Veon Moss,RB,RB97,239.9,239.9,-0.0,2026-04-01,,,,,
Marlin Klein,TE,TE51,239.9,240.0,0.1,2026-04-01,,,,,
Mason Rudolph,QB,QB47,239.9,239.9,-0.0,2026-04-01,,,,,
Michael Carter,RB,RB100,239.9,239.9,-0.0,2026-04-01,ARI,123.2,153.0,RB41,86.9
Michael Jacobson,TE,TE50,239.9,239.9,-0.0,2026-04-01,,,,,
Mitchell Evans,TE,TE51,239.9,240.0,0.1,2026-04-01,CAR,40.1,342.0,TE68,-102.1
Nick Westbrook-Ikhine,WR,WR129,239.9,240.0,0.1,2026-04-01,MIA,32.7,373.0,WR142,-133.1
Noah Fant,TE,TE53,239.9,239.7,-0.2,2026-04-01,CIN,83.1,219.0,TE35,20.9
Odell Beckham Jr.,WR,WR130,239.9,240.0,0.1,2026-04-01,MIA,8.6,547.0,WR257,-307.1
Quinn Ewers,QB,QB46,239.9,239.9,-0.0,2026-04-01,,,,,
Riley Leonard,QB,QB45,239.9,240.0,0.1,2026-04-01,,,,,
Roman Hemby,RB,RB102,239.9,239.8,-0.1,2026-04-01,,,,,
Savion Williams,WR,WR132,239.9,239.8,-0.1,2026-04-01,GB,35.3,363.0,WR138,-123.1
Tai Felton,WR,WR133,239.9,240.0,0.1,2026-04-01,MIN,16.0,438.0,WR184,-198.1
Terion Stewart,RB,RB101,239.9,240.0,0.1,2026-04-01,,,,,
Treyton Welch,TE,TE49,239.9,239.9,-0.0,2026-04-01,,,,,
Ty Chandler,RB,RB96,239.9,239.9,-0.0,2026-04-01,,,,,
Tylan Wallace,WR,WR132,239.9,239.9,-0.0,2026-04-01,BAL,43.5,329.0,WR127,-89.1
Tyler Conklin,TE,TE51,239.9,240.0,0.1,2026-04-01,LAC,41.8,335.0,TE65,-95.1
Tyler Huntley,QB,QB48,239.9,240.0,0.1,2026-04-01,,,,,
Will Howard,QB,QB47,239.9,240.0,0.1,2026-04-01,,,,,
Will Shipley,RB,RB97,239.9,239.9,-0.0,2026-04-01,,,,,
Zach Ertz,TE,TE50,239.9,240.0,0.1,2026-04-01,WAS,84.3,212.0,TE31,27.9
AJ Dillon,RB,RB113,240.0,240.0,-0.0,2026-04-01,,,,,
Adam Trautman,TE,TE69,240.0,240.0,-0.0,2026-04-01,DEN,60.1,267.0,TE50,-27.0
Andrew Armstrong,WR,WR152,240.0,240.0,-0.0,2026-04-01,,,,,
Ashton Dulin,WR,WR136,240.0,240.0,-0.0,2026-04-01,IND,16.2,437.0,WR183,-197.0
Audric Estime,RB,RB114,240.0,240.0,-0.0,2026-04-01,,,,,
Austin Ekeler,RB,RB108,240.0,240.0,-0.0,2026-04-01,,,,,
Austin Hooper,TE,TE61,240.0,240.0,-0.0,2026-04-01,NE,72.4,236.0,TE40,4.0
Ben Sinnott,TE,TE61,240.0,240.0,-0.0,2026-04-01,WAS,35.9,359.0,TE75,-119.0
Ben Skowronek,WR,WR156,240.0,240.0,-0.0,2026-04-01,PIT,0.0,616.0,WR291,-376.0
Brenen Thompson,WR,WR142,240.0,239.9,-0.1,2026-04-01,,,,,
Brevyn Spann-Ford,TE,TE64,240.0,240.0,-0.0,2026-04-01,DAL,27.0,392.0,TE82,-152.0
CJ Daniels,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Cade Stover,TE,TE68,240.0,240.0,-0.0,2026-04-01,HOU,53.8,289.0,TE53,-49.0
Caleb Douglas,WR,WR140,240.0,240.0,-0.0,2026-04-01,,,,,
Carson Beck,QB,QB56,240.0,240.0,-0.0,2026-04-01,,,,,
Carson Wentz,QB,QB49,240.0,240.0,-0.0,2026-04-01,,,,,
Cedric Tillman,WR,WR136,240.0,239.9,-0.1,2026-04-01,CLE,68.9,247.0,WR92,-7.0
Chase Claypool,WR,WR156,240.0,240.0,-0.0,2026-04-01,MIA,14.2,463.0,WR206,-223.0
Chip Trayanum,RB,RB104,240.0,240.0,-0.0,2026-04-01,,,,,
Colbie Young,WR,WR157,240.0,240.0,-0.0,2026-04-01,,,,,
Cole Payton,QB,QB52,240.0,240.0,-0.0,2026-04-01,,,,,
Dallen Bentley,TE,TE58,240.0,240.0,-0.0,2026-04-01,,,,,
Damien Martinez,RB,RB108,240.0,240.0,-0.0,2026-04-01,,,,,
Daniel Bellinger,TE,TE58,240.0,240.0,-0.0,2026-04-01,NYG,69.2,244.0,TE43,-4.0
Darius Cooper,WR,WR156,240.0,240.0,-0.0,2026-04-01,PHI,43.7,327.0,WR125,-87.0
Darren Waller,TE,TE61,240.0,239.9,-0.1,2026-04-01,MIA,69.0,246.0,TE44,-6.0
David Sills,WR,WR163,240.0,240.0,-0.0,2026-04-01,ATL,51.1,299.0,WR112,-59.0
Davis Mills,QB,QB53,240.0,240.0,-0.0,2026-04-01,HOU,182.5,82.0,QB39,158.0
DeAndre Hopkins,WR,WR142,240.0,240.0,-0.0,2026-04-01,BAL,34.9,367.0,WR141,-127.0
Dean Conners,RB,RB107,240.0,240.0,-0.0,2026-04-01,,,,,
Deion Burks,WR,WR136,240.0,240.0,-0.0,2026-04-01,,,,,
Desmond Reid,RB,RB110,240.0,240.0,-0.0,2026-04-01,,,,,
Devin Culp,TE,TE66,240.0,240.0,-0.0,2026-04-01,,,,,
Devin Singletary,RB,RB113,240.0,239.9,-0.1,2026-04-01,NYG,65.0,253.0,RB57,-13.0
Drew Allar,QB,QB53,240.0,239.7,-0.3,2026-04-01,,,,,
Dyami Brown,WR,WR148,240.0,239.9,-0.1,2026-04-01,JAX,81.2,223.0,WR83,17.0
Dylan Laube,RB,RB105,240.0,240.0,-0.0,2026-04-01,,,,,
Efton Chism,WR,WR156,240.0,240.0,-0.0,2026-04-01,,,,,
Eli Raridon,TE,TE61,240.0,240.0,-0.0,2026-04-01,,,,,
Elijah Higgins,TE,TE68,240.0,240.0,-0.0,2026-04-01,ARI,56.5,276.0,TE51,-36.0
Eric McAlister,WR,WR148,240.0,239.9,-0.1,2026-04-01,,,,,
Foster Moreau,TE,TE61,240.0,240.0,-0.0,2026-04-01,NO,32.6,374.0,TE77,-134.0
Garrett Nussmeier,QB,QB54,240.0,240.0,-0.0,2026-04-01,,,,,
Grant Calcaterra,TE,TE66,240.0,240.0,-0.0,2026-04-01,PHI,31.2,380.0,TE80,-140.0
Isaiah Williams,WR,WR142,240.0,240.0,-0.0,2026-04-01,NYJ,20.7,411.0,WR163,-171.0
Ja'Lynn Polk,WR,WR142,240.0,240.0,-0.0,2026-04-01,NE,2.3,596.0,WR277,-356.0
Jack Endries,TE,TE64,240.0,240.0,-0.0,2026-04-01,,,,,
Jacob Cowing,WR,WR148,240.0,240.0,-0.0,2026-04-01,SF,0.6,603.0,WR284,-363.0
Jake Bobo,WR,WR152,240.0,240.0,-0.0,2026-04-01,,,,,
Jaleel McLaughlin,RB,RB113,240.0,240.0,-0.0,2026-04-01,,,,,
Jalen Royals,WR,WR143,240.0,240.0,-0.0,2026-04-01,,,,,
Jameis Winston,QB,QB51,240.0,240.0,-0.0,2026-04-01,,,,,
Jarrett Stidham,QB,QB54,240.0,240.0,-0.0,2026-04-01,,,,,
Jawhar Jordan,RB,RB113,240.0,239.9,-0.1,2026-04-01,,,,,
Jeremy McNichols,RB,RB107,240.0,240.0,-0.0,2026-04-01,WAS,34.5,369.0,RB96,-129.0
Jimmy Horn,WR,WR142,240.0,240.0,-0.0,2026-04-01,,,,,
Jonnu Smith,TE,TE56,240.0,240.0,-0.0,2026-04-01,PIT,64.8,254.0,TE47,-14.0
Jordan Watkins,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Jordan Whittington,WR,WR154,240.0,240.0,-0.0,2026-04-01,LA,26.4,396.0,WR155,-156.0
Josh Johnson,QB,QB53,240.0,240.0,-0.0,2026-04-01,,,,,
Josh Oliver,TE,TE62,240.0,240.0,-0.0,2026-04-01,MIN,42.1,333.0,TE64,-93.0
Joshua Palmer,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Justin Joly,TE,TE56,240.0,240.0,-0.0,2026-04-01,,,,,
Kalel Mullings,RB,RB110,240.0,240.0,-0.0,2026-04-01,,,,,
Kendre Miller,RB,RB113,240.0,240.0,-0.0,2026-04-01,NO,78.5,226.0,RB52,14.0
Kevin Austin,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Konata Mumpfield,WR,WR140,240.0,239.9,-0.1,2026-04-01,LA,29.5,387.0,WR149,-147.0
Kyle Allen,QB,QB56,240.0,240.0,-0.0,2026-04-01,,,,,
La'Mical Perine,RB,RB113,240.0,240.0,-0.0,2026-04-01,,,,,
LaJohntay Wester,WR,WR159,240.0,240.0,-0.0,2026-04-01,BAL,0.0,610.0,WR291,-370.0
Lew Nichols,RB,RB107,240.0,240.0,-0.0,2026-04-01,,,,,
Lewis Bond,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Luke Musgrave,TE,TE61,240.0,239.8,-0.2,2026-04-01,GB,54.4,286.0,TE52,-46.0
Luke Schoonmaker,TE,TE70,240.0,240.0,-0.0,2026-04-01,DAL,48.8,306.0,TE58,-66.0
Malachi Corley,WR,WR152,240.0,240.0,-0.0,2026-04-01,CLE,25.4,399.0,WR157,-159.0
Malik Flowers,WR,WR157,240.0,239.9,-0.1,2026-04-01,,,,,
Marcus Mariota,QB,QB49,240.0,239.9,-0.1,2026-04-01,WAS,246.3,38.0,QB22,202.0
Mason Tipton,WR,WR154,240.0,240.0,-0.0,2026-04-01,NO,30.5,384.0,WR148,-144.0
Mathew Sexton,WR,WR148,240.0,240.0,-0.0,2026-04-01,,,,,
Miles Sanders,RB,RB104,240.0,240.0,-0.0,2026-04-01,,,,,
Mitch Tinsley,WR,WR146,240.0,240.0,-0.0,2026-04-01,,,,,
Mo Alie-Cox,TE,TE64,240.0,240.0,-0.0,2026-04-01,IND,50.8,301.0,TE56,-61.0
Nathan Carter,RB,RB113,240.0,240.0,-0.0,2026-04-01,,,,,
Nick Chubb,RB,RB106,240.0,240.0,-0.0,2026-04-01,HOU,54.5,285.0,RB72,-45.0
Nick Mullens,QB,QB60,240.0,240.0,-0.0,2026-04-01,,,,,
Noah Gray,TE,TE61,240.0,240.0,-0.0,2026-04-01,KC,65.8,251.0,TE46,-11.0
Noah Whittington,RB,RB106,240.0,240.0,-0.0,2026-04-01,,,,,
Phil Mafah,RB,RB113,240.0,240.0,-0.0,2026-04-01,,,,,
Raheim Sanders,RB,RB110,240.0,240.0,-0.0,2026-04-01,,,,,
Rahsul Faison,RB,RB106,240.0,240.0,-0.0,2026-04-01,,,,,
Rasheen Ali,RB,RB106,240.0,239.9,-0.1,2026-04-01,,,,,
Roman Wilson,WR,WR156,240.0,240.0,-0.0,2026-04-01,PIT,52.0,296.0,WR111,-56.0
Sam Howell,QB,QB53,240.0,240.0,-0.0,2026-04-01,,,,,
Sione Vaki,RB,RB110,240.0,240.0,-0.0,2026-04-01,,,,,
Spencer Rattler,QB,QB57,240.0,239.9,-0.1,2026-04-01,NO,184.4,78.0,QB37,162.0
Tanner Koziol,TE,TE69,240.0,239.9,-0.1,2026-04-01,,,,,
Tanner McKee,QB,QB54,240.0,240.0,-0.0,2026-04-01,,,,,
Taylen Green,QB,QB51,240.0,239.6,-0.4,2026-04-01,,,,,
Taysom Hill,TE,TE61,240.0,240.0,-0.0,2026-04-01,NO,18.2,424.0,TE89,-184.0
Teddy Bridgewater,QB,QB61,240.0,239.9,-0.1,2026-04-01,,,,,
Theo Wease,WR,WR152,240.0,239.9,-0.1,2026-04-01,,,,,
Tommy Tremble,TE,TE58,240.0,239.9,-0.1,2026-04-01,CAR,60.6,266.0,TE49,-26.0
Travis Homer,RB,RB107,240.0,239.9,-0.1,2026-04-01,,,,,
Trinidad Chambliss,QB,QB60,240.0,240.0,-0.0,2026-04-01,,,,,
Trishton Jackson,WR,WR150,240.0,240.0,-0.0,2026-04-01,,,,,
Tyler Scott,WR,WR156,240.0,240.0,-0.0,2026-04-01,,,,,
Tyrell Shavers,WR,WR142,240.0,240.0,-0.0,2026-04-01,BUF,107.0,180.0,WR59,60.0
Tyson Bagent,QB,QB54,240.0,240.0,-0.0,2026-04-01,,,,,
Van Jefferson,WR,WR154,240.0,240.0,-0.0,2026-04-01,TEN,84.9,210.0,WR77,30.0
Will Levis,QB,QB53,240.0,240.0,-0.0,2026-04-01,TEN,188.1,72.0,QB36,168.0
Xavier Hutchinson,WR,WR139,240.0,240.0,-0.0,2026-04-01,HOU,75.8,232.0,WR86,8.0
Xavier Smith,WR,WR148,240.0,240.0,-0.0,2026-04-01,LA,32.0,377.0,WR144,-137.0
Zavier Scott,RB,RB114,240.0,240.0,-0.0,2026-04-01,,,,,
