player_name,position,pos_rank,adp,adp_prev,adp_change,snapshot_date,team,fpts_ppr,model_overall_rank,model_pos_rank_str,value_score
David Montgomery,RB,RB24,57.0,61.6,4.6,2026-04-01,DET,111.7,170.0,RB45,-113.0
Christian Watson,WR,WR30,58.7,57.4,-1.3,2026-04-01,GB,165.7,102.0,WR31,-43.3
D'Andre Swift,RB,RB25,60.6,58.3,-2.3,2026-04-01,CHI,172.5,91.0,RB21,-30.4
Brian Thomas,WR,WR31,61.9,60.8,-1.1,2026-04-01,,,,,
Jayden Daniels,QB,QB3,62.4,62.9,0.5,2026-04-01,WAS,286.8,20.0,QB12,42.4
Makai Lemon,WR,WR32,63.4,63.5,0.1,2026-04-01,,,,,
Joe Burrow,QB,QB4,64.7,64.5,-0.2,2026-04-01,CIN,282.6,24.0,QB15,40.7
Marvin Harrison,WR,WR33,64.7,65.7,1.0,2026-04-01,,,,,
RJ Harvey,RB,RB26,66.5,63.2,-3.3,2026-04-01,DEN,171.2,94.0,RB22,-27.5
Tyler Warren,TE,TE4,68.1,67.7,-0.4,2026-04-01,IND,157.7,109.0,TE7,-40.9
Caleb Williams,QB,QB5,68.5,68.6,0.1,2026-04-01,CHI,285.7,21.0,QB13,47.5
Alec Pierce,WR,WR34,68.8,70.4,1.6,2026-04-01,IND,195.6,68.0,WR19,0.8
Jalen Hurts,QB,QB6,69.6,69.4,-0.2,2026-04-01,PHI,348.1,3.0,QB2,66.6
Jordyn Tyson,WR,WR35,70.8,69.0,-1.8,2026-04-01,,,,,
Drake Maye,QB,QB7,71.9,71.7,-0.2,2026-04-01,NE,299.3,14.0,QB7,57.9
Parker Washington,WR,WR36,72.9,73.2,0.3,2026-04-01,JAX,146.7,120.0,WR35,-47.1
Chuba Hubbard,RB,RB27,73.8,77.3,3.5,2026-04-01,CAR,135.2,139.0,RB32,-65.2
Courtland Sutton,WR,WR37,74.3,73.7,-0.6,2026-04-01,DEN,198.2,64.0,WR17,10.3
DK Metcalf,WR,WR38,76.9,75.6,-1.3,2026-04-01,PIT,166.1,99.0,WR30,-22.1
Michael Wilson,WR,WR39,77.5,77.6,0.1,2026-04-01,ARI,172.0,93.0,WR27,-15.5
Jaylen Warren,RB,RB28,78.1,76.4,-1.7,2026-04-01,PIT,159.9,108.0,RB26,-29.9
Rhamondre Stevenson,RB,RB29,79.2,79.6,0.4,2026-04-01,NE,137.3,137.0,RB31,-57.8
Harold Fannin,TE,TE5,80.4,79.4,-1.0,2026-04-01,,,,,
Dak Prescott,QB,QB8,80.6,81.0,0.4,2026-04-01,DAL,306.8,9.0,QB5,71.6
Justin Herbert,QB,QB9,82.6,82.9,0.3,2026-04-01,LAC,279.7,26.0,QB16,56.6
Trevor Lawrence,QB,QB10,83.9,84.6,0.7,2026-04-01,JAX,296.0,16.0,QB9,67.9
Ricky Pearsall,WR,WR40,85.2,82.8,-2.4,2026-04-01,SF,172.2,92.0,WR26,-6.8
