team,season,games_played,avg_pass_attempts_game,avg_carries_game,avg_targets_game
PHI,2022,17,31.5,32.0,29.7
PHI,2023,17,33.1,30.0,30.9
PHI,2024,17,26.4,36.5,24.6
PHI,2025,17,29.2,28.1,27.3
PIT,2020,16,41.0,23.3,40.7
PIT,2021,17,39.0,24.1,38.2
PIT,2022,17,33.6,28.8,31.9
PIT,2023,17,29.8,28.6,28.5
PIT,2024,17,29.3,31.4,27.0
PIT,2025,17,32.4,23.9,30.6
SEA,2020,16,35.2,25.6,33.5
SEA,2021,17,29.1,24.3,27.8
SEA,2022,17,33.7,24.8,32.5
SEA,2023,17,33.8,22.5,32.2
SEA,2024,17,34.9,22.5,33.5
SEA,2025,17,28.3,29.8,26.7
SF,2020,16,35.6,26.2,32.8
SF,2021,17,30.2,28.9,26.9
SF,2022,17,30.1,29.2,28.3
SF,2023,17,28.9,29.1,26.7
SF,2024,17,31.4,26.6,28.4
SF,2025,17,33.8,28.2,30.6
TB,2020,16,39.1,23.1,37.9
TB,2021,17,43.0,22.6,42.1
TB,2022,17,44.2,22.7,42.6
TB,2023,17,33.4,25.8,32.4
TB,2024,17,33.6,28.4,33.1
TB,2025,17,32.8,27.8,31.8
TEN,2020,16,30.2,32.5,28.9
TEN,2021,17,31.4,32.2,30.5
TEN,2022,17,26.8,28.6,25.6
TEN,2023,17,29.1,25.9,28.1
TEN,2024,17,31.2,26.5,29.8
TEN,2025,17,33.5,22.2,31.1
WAS,2020,16,37.6,25.0,35.8
WAS,2021,17,32.4,28.1,31.4
WAS,2022,17,32.6,31.6,31.2
WAS,2023,17,37.4,21.1,35.4
WAS,2024,17,30.9,30.9,29.6
WAS,2025,17,27.6,28.5,25.4
