attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_te_premium,player_id,player_name,position,team,age,age_multiplier,scenario,season_proj,model,projection_confidence,games_recent,returning_from_injury
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,42.0,0.2,5.4,7.4,9.4,11.4,00-0036876,Kylen Granson,TE,PHI,28,1.02,bear,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,31.0,0.2,4.3,5.8,7.3,8.8,00-0036876,Kylen Granson,TE,PHI,28,1.02,base,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,86.0,0.7,12.8,17.3,21.8,26.3,00-0036876,Kylen Granson,TE,PHI,28,1.02,bull,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,60.0,0.3,7.8,11.8,15.8,15.8,00-0036877,Jaelon Darden,WR,SEA,28,1.02,bear,2026,weighted_v1,Medium,11,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,43.0,0.3,6.1,9.1,12.1,12.1,00-0036877,Jaelon Darden,WR,SEA,28,1.02,base,2026,weighted_v1,Medium,11,False
,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,36.0,0.3,5.4,7.9,10.4,10.4,00-0036877,Jaelon Darden,WR,SEA,28,1.02,bull,2026,weighted_v1,Medium,11,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,51.0,0.4,7.5,10.5,13.5,16.5,00-0036887,Luke Farrell,TE,SF,29,1.02,bear,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,126.0,1.3,20.4,28.4,36.4,44.4,00-0036887,Luke Farrell,TE,SF,29,1.02,base,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,157.0,2.2,28.9,38.9,48.9,58.9,00-0036887,Luke Farrell,TE,SF,29,1.02,bull,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,42.0,458.0,3.4,66.2,87.2,108.2,129.2,00-0036894,Pat Freiermuth,TE,PIT,28,1.02,bear,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,38.0,410.0,4.5,68.0,87.0,106.0,125.0,00-0036894,Pat Freiermuth,TE,PIT,28,1.02,base,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,41.0,454.0,5.1,76.0,96.5,117.0,137.5,00-0036894,Pat Freiermuth,TE,PIT,28,1.02,bull,2026,weighted_v1,High,15,False
316.0,181.0,1838.0,9.4,2.6,27.0,117.0,1.7,0.0,0.0,0.0,0.0,127.8,127.8,127.8,127.8,00-0036898,Davis Mills,QB,HOU,28,1.02,bear,2026,weighted_v1,Low,6,False
